AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
16,Sulfur,S,32.065,16,16,16,3,16,solid,FALSE,TRUE,FALSE,TRUE,FALSE,Nonmetal,1.1,2.58,10.36,2.07,388.51,717.8,10,Prehistoric,,0.71,3,6,[Ne] 3s2 3p4,32
17,Chlorine,Cl,35.453,18,17,17,3,17,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Halogen,0.97,3.16,12.9676,0.00321,172.31,239.11,11,Scheele,1774,0.479,3,7,[Ne] 3s2 3p5,35
18,Argon,Ar,39.948,22,18,18,3,18,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Noble Gas,0.88,,15.7596,0.00178,83.96,87.3,8,Rayleigh and Ramsay,1894,0.52,3,8,[Ne] 3s2 3p6,40
19,Potassium,K,39.098,20,19,19,4,1,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Alkali Metal,2.8,0.82,4.3407,0.862,336.5,1032,10,Davy,1807,0.757,4,1,[Ar] 4s1,39
20,Calcium,Ca,40.078,20,20,20,4,2,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Alkaline Earth Metal,2.2,1,6.1132,1.54,1112.15,1757,14,Davy,1808,0.647,4,2,[Ar] 4s2,40
21,Scandium,Sc,44.956,24,21,21,4,3,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2.1,1.36,6.5615,2.99,1812.15,3109,15,Nilson,1878,0.568,4,0,[Ar] 3d1 4s2,45
22,Titanium,Ti,47.867,26,22,22,4,4,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,2,1.54,6.8281,4.54,1933.15,3560,9,Gregor,1791,0.523,4,0,[Ar] 3d2 4s2,48
23,Vanadium,V,50.942,28,23,23,4,5,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.9,1.63,6.7462,6.11,2175.15,3680,9,   del Rio,1801,0.489,4,0,[Ar] 3d3 4s2,51
24,Chromium,Cr,51.996,28,24,24,4,6,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.9,1.66,6.7665,7.15,2130.15,2944,9,Vauquelin,1797,0.449,4,0,[Ar] 3d5 4s1,52
25,Manganese,Mn,54.938,30,25,25,4,7,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.8,1.55,7.434,7.44,1519.15,2334,11,"Gahn, Scheele",1774,0.479,4,0,[Ar] 3d5 4s2,55
26,Iron,Fe,55.845,30,26,26,4,8,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Transition Metal,1.7,1.83,7.9024,7.87,1808.15,3134,10,Prehistoric,,0.449,4,0,[Ar] 3d6 4s2,56
